date,price
2009-12-01,260.65
2009-12-02,265.00
2009-12-03,265.00
2009-12-04,265.00
2009-12-07,265.00
2009-12-08,252.00
2009-12-09,252.00
2009-12-10,252.00
2009-12-11,252.00
2009-12-14,252.00
2009-12-15,252.00
2009-12-16,249.40
2009-12-17,250.44
2009-12-18,246.03
2009-12-21,248.13
2009-12-22,243.28
2009-12-23,241.50
2009-12-24,245.89
2009-12-25,244.86
2009-12-28,244.86
2009-12-29,245.20
2009-12-30,241.00
2009-12-31,241.00
2010-01-04,241.00
2010-01-05,241.00
2010-01-06,241.00
2010-01-07,241.00
2010-01-08,241.00
2010-01-11,241.00
2010-01-12,241.00
2010-01-13,241.00
2010-01-14,241.00
2010-01-15,241.00
2010-01-18,247.91
2010-01-19,251.68
2010-01-20,253.00
2010-01-21,253.00
2010-01-22,246.70
2010-01-25,246.93
2010-01-26,240.02
2010-01-27,243.90
2010-01-28,241.00
2010-01-29,240.00
2010-02-01,240.00
2010-02-02,240.00
2010-02-03,240.00
2010-02-04,240.00
2010-02-05,240.00
2010-02-08,240.00
2010-02-09,240.00
2010-02-10,236.50
2010-02-11,236.50
2010-02-12,236.50
2010-02-22,249.99
2010-02-23,243.00
2010-02-24,236.00
2010-02-25,238.00
2010-02-26,240.00
2010-03-01,240.31
2010-03-02,242.00
2010-03-03,242.00
2010-03-04,242.00
2010-03-05,242.00
2010-03-08,242.00
2010-03-09,242.00
2010-03-10,242.00
2010-03-11,242.00
2010-03-12,242.00
2010-03-15,242.00
2010-03-16,245.00
2010-03-17,256.90
2010-03-18,256.90
2010-03-19,256.90
2010-03-22,244.05
2010-03-23,244.05
2010-03-24,244.05
2010-03-25,244.05
2010-03-26,244.05
2010-03-29,241.36
2010-03-30,241.36
2010-03-31,241.36
2010-04-01,241.36
2010-04-02,241.36
2010-04-06,241.36
2010-04-07,241.36
2010-04-08,241.36
2010-04-09,241.36
2010-04-12,241.36
2010-04-13,241.36
2010-04-14,241.36
2010-04-15,241.36
2010-04-16,254.61
2010-04-19,251.30
2010-04-20,252.20
2010-04-21,251.50
2010-04-22,252.10
2010-04-23,251.00
2010-04-26,255.00
2010-04-27,262.77
